order_id,order_date,Month,customer_id,city,state,Age,Age Group,Gender,category,sub_category,product_name,price,quantity,discount_pct,payment_mode,delivery_days,return_flag,rating,marketing_channel
OD1001,1/1/2024,January,C202,Bangalore,Karnataka,56,Senior,Female,Fashion,Decor,Men T-Shirt,52117,1,15,COD,4,No,1,Referral
OD1002,1/2/2024,January,C535,Mumbai,Delhi,46,Adult,Male,Fashion,Furniture,Prestige Cooker,18822,2,20,UPI,2,No,3,Ads
OD1003,1/3/2024,January,C960,Delhi,Delhi,32,Young Adult,Female,Home,Kitchen,Boat Earphones,18518,3,15,COD,2,No,1,Organic
OD1004,1/4/2024,January,C370,Jaipur,Karnataka,60,Senior,Male,Home,Furniture,Prestige Cooker,41362,1,40,UPI,6,No,1,Referral
OD1005,1/5/2024,January,C206,Chennai,West Bengal,25,Young Adult,Female,Home,Accessories,Samsung Phone,10782,1,40,Card,6,No,3,Organic
OD1006,1/6/2024,January,C171,Pune,Tamil Nadu,38,Adult,Female,Fashion,Mobile,Wall Clock,18778,3,20,Card,5,No,5,Ads
OD1007,1/7/2024,January,C800,Ahmedabad,Telangana,56,Senior,Female,Fashion,Clothing,Office Chair,47498,3,0,UPI,2,No,4,Ads
OD1008,1/8/2024,January,C120,Kolkata,Delhi,36,Adult,Female,Home,Mobile,Office Chair,63279,3,0,NetBanking,5,No,1,Organic
OD1009,1/9/2024,January,C714,Nagpur,Tamil Nadu,40,Adult,Male,Electronics,Footwear,Prestige Cooker,23407,1,20,Card,4,No,3,Referral
OD1010,1/10/2024,January,C221,Bangalore,Karnataka,28,Young Adult,Female,Fashion,Mobile,Wall Clock,62083,3,20,COD,3,No,4,Referral
OD1011,1/11/2024,January,C566,Pune,Rajasthan,28,Young Adult,Male,Electronics,Furniture,Wall Clock,50724,3,15,UPI,2,No,5,Organic
OD1012,1/12/2024,January,C314,Hyderabad,Tamil Nadu,41,Adult,Female,Electronics,Footwear,Redmi Phone,38451,2,20,COD,7,Yes,1,Ads
OD1013,1/13/2024,January,C430,Delhi,Gujarat,53,Adult,Male,Fashion,Footwear,Samsung Phone,38162,2,5,NetBanking,8,No,4,Email
OD1014,1/14/2024,January,C558,Nagpur,Maharashtra,57,Senior,Female,Fashion,Decor,Men T-Shirt,61880,1,0,UPI,4,No,3,Organic
OD1015,1/15/2024,January,C187,Ahmedabad,Delhi,41,Adult,Male,Electronics,Decor,Wall Clock,48428,2,0,Card,2,No,4,Organic
OD1016,1/16/2024,January,C472,Pune,Karnataka,20,Young Adult,Male,Electronics,Footwear,Nike Shoes,9842,2,30,COD,8,No,4,Organic
OD1017,1/17/2024,January,C199,Nagpur,Rajasthan,39,Adult,Male,Home,Clothing,Office Chair,40290,3,20,Card,7,No,3,Ads
OD1018,1/18/2024,January,C971,Pune,Telangana,19,Young Adult,Male,Home,Decor,Nike Shoes,29633,3,10,Card,6,No,5,Referral
OD1019,1/19/2024,January,C763,Delhi,Rajasthan,41,Adult,Female,Fashion,Mobile,Samsung Phone,47600,2,10,UPI,5,Yes,3,Ads
OD1020,1/20/2024,January,C230,Ahmedabad,West Bengal,47,Adult,Male,Home,Furniture,Wall Clock,69942,2,20,COD,6,No,1,Organic
OD1021,1/21/2024,January,C761,Hyderabad,Gujarat,55,Adult,Male,Home,Mobile,Boat Earphones,58029,2,5,NetBanking,3,No,2,Ads
OD1022,1/22/2024,January,C408,Mumbai,Karnataka,19,Young Adult,Male,Home,Clothing,Office Chair,47298,1,10,Card,6,Yes,3,Ads
OD1023,1/23/2024,January,C869,Chennai,Telangana,38,Adult,Female,Home,Accessories,Redmi Phone,5326,1,30,UPI,2,Yes,1,Organic
OD1024,1/24/2024,January,C443,Hyderabad,West Bengal,50,Adult,Female,Electronics,Laptop,Redmi Phone,63152,1,40,UPI,7,No,1,Ads
OD1025,1/25/2024,January,C591,Mumbai,West Bengal,29,Young Adult,Male,Fashion,Furniture,Women Kurti,14198,2,20,NetBanking,6,Yes,4,Email
