order_id,order_date,customer_id,city,state,Age,Gender,category,sub_category,product_name,price,quantity,discount_pct,payment_mode,delivery_days,return_flag,rating,marketing_channel
OD1001,1/1/2024,C202,Bangalore,Karnataka,56,Female,Fashion,Decor,Men T-Shirt,52117,1,15,COD,4,No,1,Referral
OD1002,1/2/2024,C535,Mumbai,Delhi,46,Male,Fashion,Furniture,Prestige Cooker,18822,2,20,UPI,2,No,3,Ads
OD1003,1/3/2024,C960,Delhi,Delhi,32,Female,Home,Kitchen,Boat Earphones,18518,3,15,COD,2,No,1,Organic
OD1004,1/4/2024,C370,Jaipur,Karnataka,60,Male,Home,Furniture,Prestige Cooker,41362,1,40,UPI,6,No,1,Referral
OD1005,1/5/2024,C206,Chennai,West Bengal,25,Female,Home,Accessories,Samsung Phone,10782,1,40,Card,6,No,,Organic
OD1006,1/6/2024,C171,Pune,Tamil Nadu,38,Female,Fashion,Mobile,Wall Clock,18778,3,20,Card,5,No,5,Ads
OD1007,1/7/2024,C800,Ahmedabad,Telangana,56,Female,Fashion,Clothing,Office Chair,47498,3,0,UPI,2,No,4,Ads
OD1008,1/8/2024,C120,Kolkata,Delhi,36,Female,Home,Mobile,Office Chair,63279,3,0,NetBanking,5,No,1,Organic
OD1009,1/9/2024,C714,Nagpur,Tamil Nadu,40,Male,Electronics,Footwear,Prestige Cooker,23407,1,20,Card,4,No,3,Referral
OD1010,1/10/2024,C221,Bangalore,Karnataka,28,Female,Fashion,Mobile,Wall Clock,62083,3,20,COD,3,No,4,Referral
OD1011,1/11/2024,C566,Pune,Rajasthan,28,Male,Electronics,Furniture,Wall Clock,50724,3,15,UPI,2,No,5,Organic
OD1012,1/12/2024,C314,Hyderabad,Tamil Nadu,41,Female,Electronics,Footwear,Redmi Phone,38451,2,20,COD,7,Yes,1,Ads
OD1013,1/13/2024,C430,Delhi,Gujarat,53,Male,Fashion,Footwear,Samsung Phone,38162,2,5,NetBanking,8,No,4,Email
OD1014,1/14/2024,C558,Nagpur,Maharashtra,57,Female,Fashion,Decor,Men T-Shirt,61880,1,0,UPI,4,No,,Organic
OD1015,1/15/2024,C187,Ahmedabad,Delhi,41,Male,Electronics,Decor,Wall Clock,48428,2,0,Card,2,No,4,Organic
OD1016,1/16/2024,C472,Pune,Karnataka,20,Male,Electronics,Footwear,Nike Shoes,9842,2,30,COD,8,No,4,Organic
OD1017,1/17/2024,C199,Nagpur,Rajasthan,39,Male,Home,Clothing,Office Chair,40290,3,20,Card,7,No,3,Ads
OD1018,1/18/2024,C971,Pune,Telangana,19,Male,Home,Decor,Nike Shoes,29633,3,10,Card,6,No,5,Referral
OD1019,1/19/2024,C763,Delhi,Rajasthan,41,Female,Fashion,Mobile,Samsung Phone,47600,2,10,UPI,5,Yes,,Ads
OD1020,1/20/2024,C230,Ahmedabad,West Bengal,47,Male,Home,Furniture,Wall Clock,69942,2,20,COD,6,No,1,Organic
OD1021,1/21/2024,C761,Hyderabad,Gujarat,55,Male,Home,Mobile,Boat Earphones,58029,2,5,NetBanking,3,No,2,Ads
OD1022,1/22/2024,C408,Mumbai,Karnataka,19,Male,Home,Clothing,Office Chair,47298,1,10,Card,6,Yes,3,Ads
OD1023,1/23/2024,C869,Chennai,Telangana,38,Female,Home,Accessories,Redmi Phone,5326,1,30,UPI,2,Yes,1,Organic
OD1024,1/24/2024,C443,Hyderabad,West Bengal,50,Female,Electronics,Laptop,Redmi Phone,63152,1,40,UPI,7,No,1,Ads
OD1025,1/25/2024,C591,Mumbai,West Bengal,29,Male,Fashion,Furniture,Women Kurti,14198,2,20,NetBanking,6,Yes,4,Email
OD1026,1/26/2024,C513,Bangalore,Karnataka,39,Male,Home,Decor,HP Laptop,5812,2,5,UPI,2,No,,Ads
OD1027,1/27/2024,C905,Jaipur,Gujarat,42,Female,Electronics,Furniture,Wall Clock,14097,1,5,Card,3,Yes,2,Ads
OD1028,1/28/2024,C485,Kolkata,Tamil Nadu,44,Female,Electronics,Mobile,Samsung Phone,29306,1,15,UPI,8,No,3,Referral
OD1029,1/29/2024,C291,Kolkata,Tamil Nadu,59,Male,Electronics,Laptop,Office Chair,69889,2,5,COD,7,No,2,Referral
OD1030,1/30/2024,C376,Chennai,West Bengal,45,Male,Home,Kitchen,HP Laptop,45725,3,10,COD,6,No,1,Organic
OD1031,1/31/2024,C260,Ahmedabad,Tamil Nadu,33,Female,Home,Kitchen,Samsung Phone,60049,1,40,Card,5,Yes,2,Organic
OD1032,2/1/2024,C559,Delhi,Maharashtra,32,Male,Fashion,Decor,Prestige Cooker,4057,2,10,COD,5,No,2,Referral
OD1033,2/2/2024,C413,Ahmedabad,West Bengal,20,Male,Home,Clothing,Wall Clock,50612,2,20,NetBanking,7,No,5,Email
OD1034,2/3/2024,C121,Delhi,West Bengal,54,Female,Home,Kitchen,Men T-Shirt,53498,3,40,UPI,5,No,1,Ads
OD1035,2/4/2024,C352,Ahmedabad,Telangana,24,Female,Electronics,Furniture,Men T-Shirt,56377,2,20,Card,6,No,2,Email
OD1036,2/5/2024,C847,Jaipur,Tamil Nadu,38,Male,Fashion,Kitchen,Wall Clock,36842,2,5,NetBanking,6,Yes,2,Email
OD1037,2/6/2024,C956,Bangalore,Gujarat,26,Male,Home,Accessories,Women Kurti,58718,1,30,UPI,7,No,4,Referral
OD1038,2/7/2024,C660,Bangalore,West Bengal,56,Female,Home,Accessories,Women Kurti,35685,1,0,NetBanking,6,No,,Organic
OD1039,2/8/2024,C574,Mumbai,Rajasthan,35,Female,Electronics,Decor,Men T-Shirt,37465,3,40,Card,8,No,2,Ads
OD1040,2/9/2024,C158,Nagpur,Gujarat,21,Male,Electronics,Accessories,Boat Earphones,34268,3,15,Card,2,Yes,5,Organic
OD1041,2/10/2024,C610,Bangalore,Maharashtra,42,Female,Home,Kitchen,Office Chair,53717,2,0,NetBanking,3,No,1,Email
OD1042,2/11/2024,C781,Bangalore,Telangana,31,Female,Fashion,Clothing,Men T-Shirt,19728,1,5,UPI,8,No,3,Email
OD1043,2/12/2024,C575,Hyderabad,Karnataka,26,Male,Fashion,Footwear,Boat Earphones,28376,3,5,COD,8,No,1,Organic
OD1044,2/13/2024,C799,Hyderabad,Gujarat,43,Male,Electronics,Footwear,HP Laptop,58500,3,0,COD,5,No,4,Organic
OD1045,2/14/2024,C882,Mumbai,West Bengal,19,Male,Electronics,Decor,Boat Earphones,38583,3,15,NetBanking,2,Yes,1,Referral
OD1046,2/15/2024,C289,Nagpur,Maharashtra,37,Female,Home,Laptop,HP Laptop,17305,2,40,Card,7,No,2,Organic
OD1047,2/16/2024,C786,Chennai,Delhi,45,Male,Electronics,Footwear,Samsung Phone,37533,1,40,UPI,9,No,,Organic
OD1048,2/17/2024,C662,Hyderabad,Maharashtra,24,Male,Home,Footwear,Nike Shoes,40816,3,0,UPI,5,No,1,Referral
OD1049,2/18/2024,C975,Chennai,Maharashtra,25,Male,Fashion,Accessories,Samsung Phone,55967,1,20,Card,2,No,4,Organic
OD1050,2/19/2024,C666,Pune,Telangana,52,Male,Fashion,Accessories,Men T-Shirt,19593,3,10,COD,6,No,3,Email
OD1051,2/20/2024,C343,Hyderabad,Karnataka,31,Female,Home,Kitchen,HP Laptop,58295,3,30,UPI,7,No,1,Organic
OD1052,2/21/2024,C931,Jaipur,Delhi,34,Female,Electronics,Decor,Men T-Shirt,11088,1,20,NetBanking,9,No,2,Ads
OD1053,2/22/2024,C604,Nagpur,Tamil Nadu,53,Female,Fashion,Laptop,Wall Clock,57720,1,40,COD,7,No,4,Email
OD1054,2/23/2024,C230,Mumbai,Tamil Nadu,57,Female,Electronics,Decor,Office Chair,2156,1,10,NetBanking,9,No,5,Referral
OD1055,2/24/2024,C584,Pune,Gujarat,21,Male,Fashion,Mobile,Redmi Phone,40030,2,30,COD,9,Yes,4,Email
